time,open,high,low,close,candlestick_pattern,candlestick_match_count
2021-03-06 08:00:00+08:00,1579.01,1671.58,1513.03,1650.35,,0.0
2021-03-07 08:00:00+08:00,1650.68,1734.16,1630.35,1726.16,,0.0
2021-03-08 08:00:00+08:00,1726.46,1843.59,1664.96,1833.18,,0.0
2021-03-09 08:00:00+08:00,1833.22,1870.77,1798.2,1870.51,,0.0
2021-03-10 08:00:00+08:00,1870.5,1877.69,1757.0,1795.12,XSIDEGAP3METHODS_Bull,1.0
2021-03-11 08:00:00+08:00,1795.28,1846.7,1725.0,1825.78,,0.0
2021-03-12 08:00:00+08:00,1825.78,1841.88,1719.72,1766.1,,0.0
2021-03-13 08:00:00+08:00,1766.13,1944.3,1727.75,1922.35,,0.0
2021-03-14 08:00:00+08:00,1922.35,1933.1,1836.0,1848.1,,0.0
2021-03-15 08:00:00+08:00,1848.1,1891.76,1730.0,1793.48,HIKKAKE_Bull,1.0
2021-03-16 08:00:00+08:00,1793.99,1819.5,1711.68,1805.12,RICKSHAWMAN_Bull,4.0
2021-03-17 08:00:00+08:00,1805.01,1838.88,1741.18,1823.58,,0.0
2021-03-18 08:00:00+08:00,1823.58,1850.0,1759.04,1776.08,,0.0
2021-03-19 08:00:00+08:00,1775.92,1840.61,1733.47,1809.1,,0.0
2021-03-20 08:00:00+08:00,1809.01,1868.83,1800.86,1806.1,LONGLEGGEDDOJI_Bull,4.0
2021-03-21 08:00:00+08:00,1806.57,1817.16,1747.0,1782.98,HAMMER_Bull,1.0
2021-03-22 08:00:00+08:00,1783.23,1807.51,1655.15,1680.97,,0.0
2021-03-23 08:00:00+08:00,1681.17,1721.17,1650.0,1668.08,SPINNINGTOP_Bear,1.0
2021-03-24 08:00:00+08:00,1668.2,1740.86,1536.92,1581.84,,0.0
2021-03-25 08:00:00+08:00,1581.88,1622.0,1549.4,1585.74,RICKSHAWMAN_Bull,7.0
2021-03-26 08:00:00+08:00,1585.83,1699.93,1585.79,1698.84,3INSIDE_Bull,5.0
2021-03-27 08:00:00+08:00,1698.84,1732.67,1666.41,1712.63,SPINNINGTOP_Bull,1.0
2021-03-28 08:00:00+08:00,1712.52,1725.66,1661.4,1687.01,,0.0
2021-03-29 08:00:00+08:00,1687.16,1841.0,1677.85,1816.74,BELTHOLD_Bull,1.0
2021-03-30 08:00:00+08:00,1816.76,1859.13,1786.3,1840.46,,0.0
2021-03-31 08:00:00+08:00,1840.41,1862.55,1768.15,1808.69,XSIDEGAP3METHODS_Bull,1.0
